Review_ID,Customer_ID,Product_ID,Order_ID,Review_Date,Rating,Review_Text,Sentiment
REV0000045,CUST004670,PRD00950,ORD00000353,2025-11-12,2,Excellent experience,Negative
REV0000046,CUST003710,PRD00007,ORD00000355,2023-04-26,5,Value for money,Positive
REV0000047,CUST004980,PRD00692,ORD00000360,2022-08-16,4,Good product,Positive
REV0000048,CUST012230,PRD00103,ORD00000366,2024-12-25,3,Average quality,Neutral
REV0000049,CUST012095,PRD00931,ORD00000371,2023-11-14,5,Value for money,Positive
REV0000050,CUST013546,PRD00433,ORD00000375,2023-04-16,5,Not satisfied,Positive
REV0000051,CUST013276,PRD00998,ORD00000379,2025-03-24,5,Good product,Positive
REV0000052,CUST004929,PRD00018,ORD00000380,2022-08-23,3,Average quality,Neutral
REV0000053,CUST000167,PRD00611,ORD00000381,2024-03-06,4,Not satisfied,Positive
REV0000054,CUST006709,PRD00093,ORD00000385,2024-03-12,5,Excellent experience,Positive
REV0000055,CUST002882,PRD00406,ORD00000389,2022-12-12,5,Average quality,Positive
REV0000056,CUST008646,PRD00987,ORD00000394,2023-06-04,5,Late delivery,Positive
REV0000057,CUST001894,PRD00179,ORD00000401,2025-04-16,5,Average quality,Positive
REV0000058,CUST006571,PRD00545,ORD00000412,2022-10-19,4,Excellent experience,Positive
REV0000059,CUST000317,PRD00414,ORD00000414,2025-10-17,5,Value for money,Positive
REV0000060,CUST010351,PRD00333,ORD00000416,2023-02-28,5,Value for money,Positive
REV0000061,CUST005048,PRD00898,ORD00000424,2023-10-02,5,Late delivery,Positive
REV0000062,CUST009528,PRD00378,ORD00000442,2022-07-01,4,Good product,Positive
REV0000063,CUST008320,PRD00621,ORD00000446,2022-03-14,4,Not satisfied,Positive
REV0000064,CUST008528,PRD00960,ORD00000451,2024-05-08,5,Not satisfied,Positive
REV0000065,CUST005493,PRD00739,ORD00000456,2023-04-07,4,Excellent experience,Positive
REV0000066,CUST010146,PRD00960,ORD00000457,2025-01-26,4,Excellent experience,Positive
REV0000067,CUST008878,PRD00706,ORD00000460,2023-10-22,4,Late delivery,Positive
REV0000068,CUST004802,PRD00655,ORD00000470,2024-07-04,4,Average quality,Positive
REV0000069,CUST014175,PRD00559,ORD00000479,2024-03-28,3,Not satisfied,Neutral
REV0000070,CUST006503,PRD00908,ORD00000507,2025-09-15,4,Value for money,Positive
REV0000071,CUST008041,PRD00888,ORD00000509,2024-11-27,4,Value for money,Positive
REV0000072,CUST003787,PRD00642,ORD00000520,2025-03-22,5,Good product,Positive
REV0000073,CUST007592,PRD00210,ORD00000526,2022-11-14,5,Not satisfied,Positive
REV0000074,CUST002326,PRD00525,ORD00000528,2022-09-25,4,Late delivery,Positive
REV0000075,CUST012416,PRD00506,ORD00000531,2022-07-11,2,Value for money,Negative
REV0000076,CUST004193,PRD00121,ORD00000533,2024-07-19,4,Late delivery,Positive
REV0000077,CUST001176,PRD00609,ORD00000534,2022-06-17,1,Not satisfied,Negative
REV0000078,CUST008607,PRD00321,ORD00000537,2024-08-26,4,Average quality,Positive
REV0000079,CUST014755,PRD00705,ORD00000543,2025-04-29,5,Good product,Positive
REV0000080,CUST014238,PRD00920,ORD00000550,2024-10-14,5,Good product,Positive
REV0000081,CUST002413,PRD00866,ORD00000558,2022-07-01,4,Excellent experience,Positive
REV0000082,CUST004508,PRD00136,ORD00000559,2022-06-18,4,Average quality,Positive
REV0000083,CUST001411,PRD00777,ORD00000562,2025-12-17,4,Not satisfied,Positive
REV0000084,CUST001873,PRD00232,ORD00000569,2024-04-24,2,Average quality,Negative
REV0000085,CUST009234,PRD00597,ORD00000572,2024-09-09,1,Excellent experience,Negative
REV0000086,CUST000368,PRD00964,ORD00000573,2024-12-24,5,Value for money,Positive
REV0000087,CUST002055,PRD00526,ORD00000577,2024-08-17,4,Average quality,Positive
REV0000088,CUST006314,PRD00815,ORD00000580,2022-01-24,5,Average quality,Positive
REV0000089,CUST014552,PRD00824,ORD00000587,2022-06-06,5,Value for money,Positive
REV0000090,CUST000105,PRD00131,ORD00000589,2023-11-15,5,Average quality,Positive
REV0000091,CUST013661,PRD00150,ORD00000597,2023-01-20,4,Good product,Positive
REV0000092,CUST012195,PRD00201,ORD00000599,2023-10-12,4,Average quality,Positive
REV0000093,CUST011541,PRD00855,ORD00000605,2022-11-25,4,Value for money,Positive
REV0000094,CUST013392,PRD00512,ORD00000616,2025-10-10,5,Late delivery,Positive
REV0000095,CUST013384,PRD00257,ORD00000620,2023-08-09,3,Late delivery,Neutral
REV0000096,CUST014927,PRD00268,ORD00000622,2023-10-09,4,Average quality,Positive
REV0000097,CUST014523,PRD00949,ORD00000623,2025-12-13,4,Good product,Positive
REV0000098,CUST005128,PRD00917,ORD00000625,2022-05-16,3,Average quality,Neutral
REV0000099,CUST003793,PRD00333,ORD00000626,2024-11-08,5,Excellent experience,Positive
REV0000100,CUST006872,PRD00337,ORD00000640,2022-08-31,5,Not satisfied,Positive
REV0000101,CUST001232,PRD00794,ORD00000654,2023-04-06,1,Good product,Negative
REV0000102,CUST014501,PRD00905,ORD00000668,2024-05-01,3,Not satisfied,Neutral
REV0000103,CUST012151,PRD00838,ORD00000696,2025-09-02,5,Average quality,Positive
REV0000104,CUST000499,PRD00576,ORD00000702,2025-06-24,4,Late delivery,Positive
REV0000105,CUST014873,PRD00611,ORD00000707,2025-02-07,5,Average quality,Positive
REV0000106,CUST008025,PRD00481,ORD00000711,2023-03-20,4,Good product,Positive
REV0000107,CUST001244,PRD00029,ORD00000721,2025-07-10,4,Good product,Positive
REV0000108,CUST012384,PRD00025,ORD00000745,2024-11-30,2,Late delivery,Negative
REV0000109,CUST007884,PRD00548,ORD00000747,2025-03-07,4,Average quality,Positive
REV0000110,CUST007106,PRD00631,ORD00000758,2024-09-20,4,Excellent experience,Positive
REV0000111,CUST008254,PRD00348,ORD00000760,2025-08-27,1,Late delivery,Negative
REV0000112,CUST008808,PRD00502,ORD00000763,2024-02-08,5,Good product,Positive
REV0000113,CUST002484,PRD00124,ORD00000776,2024-01-09,2,Not satisfied,Negative
REV0000114,CUST010925,PRD00912,ORD00000784,2024-03-20,4,Not satisfied,Positive
REV0000115,CUST012834,PRD00353,ORD00000787,2022-07-05,5,Good product,Positive
REV0000116,CUST002879,PRD00400,ORD00000788,2025-06-29,4,Good product,Positive
REV0000117,CUST002718,PRD00577,ORD00000804,2022-09-30,3,Not satisfied,Neutral
REV0000118,CUST001501,PRD00689,ORD00000806,2025-10-19,4,Not satisfied,Positive
REV0000119,CUST011274,PRD00802,ORD00000811,2023-07-11,5,Late delivery,Positive
REV0000120,CUST001418,PRD00099,ORD00000815,2024-03-09,5,Excellent experience,Positive
REV0000121,CUST008003,PRD00322,ORD00000821,2023-04-23,4,Late delivery,Positive
REV0000122,CUST004030,PRD00231,ORD00000830,2022-04-04,5,Average quality,Positive
REV0000123,CUST003899,PRD00698,ORD00000831,2025-11-24,5,Good product,Positive
REV0000124,CUST004332,PRD00780,ORD00000833,2025-04-01,4,Good product,Positive
REV0000125,CUST014729,PRD00631,ORD00000837,2023-02-06,2,Excellent experience,Negative
REV0000126,CUST010190,PRD00472,ORD00000844,2025-02-14,4,Good product,Positive
REV0000127,CUST005746,PRD00112,ORD00000845,2023-03-13,5,Value for money,Positive
REV0000128,CUST000392,PRD00480,ORD00000850,2022-06-02,1,Late delivery,Negative
REV0000129,CUST013649,PRD00953,ORD00000853,2023-08-17,4,Value for money,Positive
REV0000130,CUST006034,PRD00842,ORD00000854,2023-06-07,4,Average quality,Positive
REV0000131,CUST008247,PRD00401,ORD00000856,2026-01-04,5,Value for money,Positive
REV0000132,CUST010701,PRD00924,ORD00000861,2023-04-22,4,Value for money,Positive
REV0000133,CUST010627,PRD00231,ORD00000871,2023-02-13,3,Late delivery,Neutral
REV0000134,CUST008304,PRD00480,ORD00000876,2025-02-26,4,Average quality,Positive
REV0000135,CUST009031,PRD00912,ORD00000883,2024-09-17,4,Late delivery,Positive
REV0000136,CUST014847,PRD00026,ORD00000885,2023-11-17,5,Not satisfied,Positive
REV0000137,CUST014012,PRD00152,ORD00000887,2025-12-13,1,Late delivery,Negative
REV0000138,CUST010044,PRD00195,ORD00000892,2024-01-01,2,Value for money,Negative
REV0000139,CUST012964,PRD00577,ORD00000903,2024-11-08,4,Value for money,Positive
REV0000140,CUST009386,PRD00046,ORD00000909,2024-02-07,3,Excellent experience,Neutral
REV0000141,CUST014887,PRD00171,ORD00000911,2024-12-28,5,Excellent experience,Positive
REV0000142,CUST000523,PRD00898,ORD00000916,2023-07-23,4,Late delivery,Positive
REV0000143,CUST014949,PRD00890,ORD00000929,2025-11-23,4,Excellent experience,Positive
REV0000144,CUST009082,PRD00298,ORD00000930,2024-10-24,4,Value for money,Positive
REV0000145,CUST000956,PRD00273,ORD00000932,2024-05-27,4,Average quality,Positive
REV0000146,CUST005566,PRD00072,ORD00000946,2025-03-23,4,Value for money,Positive
REV0000147,CUST010314,PRD00821,ORD00000966,2022-12-11,4,Not satisfied,Positive
REV0000148,CUST003690,PRD00077,ORD00000976,2025-06-24,5,Late delivery,Positive
REV0000149,CUST014489,PRD00337,ORD00000980,2023-09-29,4,Not satisfied,Positive
REV0000150,CUST001259,PRD00006,ORD00000981,2025-09-30,5,Average quality,Positive
REV0000151,CUST012669,PRD00004,ORD00000987,2024-04-27,3,Late delivery,Neutral
REV0000152,CUST004224,PRD00723,ORD00000989,2022-12-01,3,Average quality,Neutral
REV0000153,CUST001673,PRD00844,ORD00001010,2023-05-27,3,Good product,Neutral
REV0000154,CUST002615,PRD00259,ORD00001017,2023-11-05,5,Value for money,Positive
REV0000155,CUST011054,PRD00398,ORD00001019,2023-05-05,4,Average quality,Positive
REV0000156,CUST014446,PRD00195,ORD00001020,2022-03-13,4,Good product,Positive
REV0000157,CUST007069,PRD00190,ORD00001021,2023-11-28,4,Not satisfied,Positive
REV0000158,CUST012508,PRD00066,ORD00001022,2023-01-20,4,Average quality,Positive
REV0000159,CUST013819,PRD00175,ORD00001023,2022-06-14,5,Late delivery,Positive
REV0000160,CUST014667,PRD00788,ORD00001026,2023-11-25,4,Value for money,Positive
REV0000161,CUST013033,PRD00312,ORD00001028,2024-07-05,5,Average quality,Positive
REV0000162,CUST012104,PRD00439,ORD00001041,2022-04-04,2,Excellent experience,Negative
REV0000163,CUST014812,PRD00819,ORD00001056,2025-10-29,2,Not satisfied,Negative
REV0000164,CUST013218,PRD00657,ORD00001059,2024-11-06,4,Not satisfied,Positive
REV0000165,CUST010431,PRD00513,ORD00001064,2022-09-18,5,Average quality,Positive
REV0000166,CUST004927,PRD00670,ORD00001103,2023-06-30,4,Late delivery,Positive
REV0000167,CUST010921,PRD00023,ORD00001105,2025-03-09,5,Average quality,Positive
REV0000168,CUST004728,PRD00469,ORD00001114,2025-03-24,3,Not satisfied,Neutral
REV0000169,CUST008268,PRD00950,ORD00001127,2025-11-14,2,Late delivery,Negative
REV0000170,CUST010385,PRD00432,ORD00001133,2025-06-21,5,Not satisfied,Positive
REV0000171,CUST000419,PRD00815,ORD00001145,2025-02-16,5,Not satisfied,Positive
REV0000172,CUST009901,PRD00505,ORD00001156,2023-10-26,3,Value for money,Neutral
REV0000173,CUST000277,PRD00323,ORD00001158,2022-02-28,4,Good product,Positive
REV0000174,CUST011382,PRD00104,ORD00001159,2023-11-06,3,Excellent experience,Neutral
REV0000175,CUST002787,PRD00952,ORD00001165,2024-06-09,4,Not satisfied,Positive
REV0000176,CUST007974,PRD00527,ORD00001168,2024-12-20,4,Average quality,Positive
REV0000177,CUST002985,PRD00576,ORD00001175,2023-08-31,4,Value for money,Positive
REV0000178,CUST000098,PRD00726,ORD00001189,2025-09-23,1,Value for money,Negative
REV0000179,CUST010715,PRD00542,ORD00001199,2022-03-14,5,Value for money,Positive
REV0000180,CUST011717,PRD00129,ORD00001200,2023-01-26,4,Value for money,Positive
REV0000181,CUST010602,PRD00774,ORD00001203,2026-01-09,3,Late delivery,Neutral
REV0000182,CUST013781,PRD00350,ORD00001210,2022-05-29,5,Average quality,Positive
REV0000183,CUST002089,PRD00648,ORD00001212,2022-02-12,3,Average quality,Neutral
REV0000184,CUST013382,PRD00617,ORD00001215,2025-06-12,4,Average quality,Positive
REV0000185,CUST002636,PRD00652,ORD00001218,2023-03-07,3,Value for money,Neutral
REV0000186,CUST004132,PRD00049,ORD00001220,2025-09-13,5,Late delivery,Positive
REV0000187,CUST006522,PRD00932,ORD00001233,2022-08-18,4,Not satisfied,Positive
REV0000188,CUST009226,PRD00633,ORD00001237,2023-11-02,3,Not satisfied,Neutral
REV0000189,CUST011315,PRD00057,ORD00001262,2025-12-27,4,Good product,Positive
REV0000190,CUST011287,PRD00221,ORD00001269,2022-03-24,4,Late delivery,Positive
REV0000191,CUST003533,PRD00563,ORD00001277,2023-09-07,5,Average quality,Positive
REV0000192,CUST010491,PRD00406,ORD00001283,2023-01-07,5,Excellent experience,Positive
REV0000193,CUST002157,PRD00266,ORD00001286,2024-09-16,5,Average quality,Positive
REV0000194,CUST000167,PRD00338,ORD00001294,2023-09-12,3,Good product,Neutral
REV0000195,CUST001999,PRD00271,ORD00001298,2023-10-16,3,Good product,Neutral
REV0000196,CUST008288,PRD00653,ORD00001302,2024-03-24,4,Value for money,Positive
REV0000197,CUST007351,PRD00268,ORD00001304,2022-03-10,5,Excellent experience,Positive
REV0000198,CUST001937,PRD00880,ORD00001313,2022-01-07,4,Late delivery,Positive
REV0000199,CUST012065,PRD00387,ORD00001322,2024-07-18,3,Value for money,Neutral
REV0000200,CUST000567,PRD00969,ORD00001337,2024-03-19,3,Value for money,Neutral
REV0000201,CUST012125,PRD00212,ORD00001341,2025-11-02,4,Value for money,Positive
REV0000202,CUST014116,PRD00319,ORD00001344,2025-10-07,4,Good product,Positive
REV0000203,CUST010941,PRD00412,ORD00001345,2025-07-11,4,Excellent experience,Positive
REV0000204,CUST001388,PRD00572,ORD00001347,2024-12-31,4,Good product,Positive
REV0000205,CUST011042,PRD00289,ORD00001351,2022-10-06,4,Value for money,Positive
REV0000206,CUST001191,PRD00193,ORD00001360,2023-09-16,2,Value for money,Negative
REV0000207,CUST010954,PRD00206,ORD00001371,2024-08-17,5,Good product,Positive
REV0000208,CUST003812,PRD00229,ORD00001387,2022-10-23,4,Excellent experience,Positive
REV0000209,CUST001994,PRD00327,ORD00001394,2024-06-13,4,Excellent experience,Positive
REV0000210,CUST006438,PRD00151,ORD00001396,2023-05-06,5,Not satisfied,Positive
REV0000211,CUST009382,PRD00291,ORD00001404,2023-12-13,5,Excellent experience,Positive
REV0000212,CUST002566,PRD00489,ORD00001406,2023-12-24,4,Late delivery,Positive
REV0000213,CUST007309,PRD00301,ORD00001410,2022-04-10,3,Good product,Neutral
REV0000214,CUST009323,PRD00418,ORD00001413,2022-05-19,5,Excellent experience,Positive
REV0000215,CUST014347,PRD00792,ORD00001416,2024-10-29,4,Excellent experience,Positive
REV0000216,CUST002590,PRD00246,ORD00001418,2025-01-28,5,Value for money,Positive
REV0000217,CUST001191,PRD00805,ORD00001419,2022-08-08,2,Excellent experience,Negative
REV0000218,CUST002073,PRD00168,ORD00001428,2022-08-31,5,Average quality,Positive
REV0000219,CUST012127,PRD00488,ORD00001433,2022-10-02,3,Excellent experience,Neutral
REV0000220,CUST008998,PRD00618,ORD00001449,2022-02-15,4,Not satisfied,Positive
REV0000221,CUST007443,PRD00577,ORD00001451,2025-03-24,4,Not satisfied,Positive
REV0000222,CUST005165,PRD00930,ORD00001454,2023-12-13,1,Late delivery,Negative
REV0000223,CUST011213,PRD00977,ORD00001456,2022-06-08,5,Late delivery,Positive
REV0000224,CUST004542,PRD00134,ORD00001460,2024-09-25,3,Good product,Neutral
REV0000225,CUST006579,PRD00822,ORD00001471,2025-04-28,5,Average quality,Positive
REV0000226,CUST014981,PRD00344,ORD00001472,2024-04-18,5,Good product,Positive
REV0000227,CUST001807,PRD00298,ORD00001479,2025-10-19,3,Excellent experience,Neutral
REV0000228,CUST005662,PRD00797,ORD00001480,2023-04-01,4,Good product,Positive
REV0000229,CUST005150,PRD00843,ORD00001484,2022-09-22,5,Late delivery,Positive
REV0000230,CUST000585,PRD00865,ORD00001493,2025-05-04,5,Excellent experience,Positive
REV0000231,CUST002786,PRD00191,ORD00001502,2024-10-27,2,Excellent experience,Negative
REV0000232,CUST000762,PRD00039,ORD00001503,2024-05-25,5,Not satisfied,Positive
REV0000233,CUST011443,PRD00181,ORD00001506,2025-07-12,5,Average quality,Positive
REV0000234,CUST002772,PRD00567,ORD00001507,2022-12-08,4,Value for money,Positive
REV0000235,CUST007753,PRD00918,ORD00001510,2024-02-29,5,Good product,Positive
REV0000236,CUST014158,PRD00877,ORD00001513,2022-11-14,4,Excellent experience,Positive
REV0000237,CUST006280,PRD00100,ORD00001516,2023-04-17,3,Excellent experience,Neutral
REV0000238,CUST000748,PRD00933,ORD00001546,2025-06-15,4,Not satisfied,Positive
REV0000239,CUST007738,PRD00530,ORD00001549,2024-07-07,5,Value for money,Positive
REV0000240,CUST001720,PRD00285,ORD00001553,2022-11-26,5,Value for money,Positive
REV0000241,CUST012936,PRD00409,ORD00001564,2022-06-24,4,Not satisfied,Positive
REV0000242,CUST004619,PRD00584,ORD00001565,2022-04-27,4,Good product,Positive
REV0000243,CUST010772,PRD00678,ORD00001572,2025-05-17,2,Not satisfied,Negative
REV0000244,CUST001956,PRD00745,ORD00001575,2023-08-18,4,Good product,Positive
REV0000245,CUST004914,PRD00701,ORD00001585,2022-06-15,5,Late delivery,Positive
REV0000246,CUST002226,PRD00154,ORD00001589,2023-09-15,3,Not satisfied,Neutral
REV0000247,CUST010341,PRD00160,ORD00001590,2023-01-02,5,Excellent experience,Positive
REV0000248,CUST010911,PRD00001,ORD00001591,2023-06-21,5,Not satisfied,Positive
REV0000249,CUST011592,PRD00049,ORD00001607,2022-03-27,4,Not satisfied,Positive
REV0000250,CUST004773,PRD00589,ORD00001611,2023-06-02,5,Excellent experience,Positive
REV0000251,CUST013753,PRD00672,ORD00001632,2024-12-30,1,Average quality,Negative
REV0000252,CUST012582,PRD00951,ORD00001636,2023-05-30,4,Good product,Positive
REV0000253,CUST009826,PRD00474,ORD00001646,2023-11-28,2,Excellent experience,Negative
REV0000254,CUST005596,PRD00832,ORD00001652,2023-05-24,4,Average quality,Positive
REV0000255,CUST014579,PRD00908,ORD00001662,2024-09-20,5,Good product,Positive
REV0000256,CUST000383,PRD00954,ORD00001664,2025-08-31,4,Good product,Positive
REV0000257,CUST003860,PRD00837,ORD00001674,2022-07-07,4,Late delivery,Positive
REV0000258,CUST008587,PRD00455,ORD00001676,2022-03-29,2,Value for money,Negative
REV0000259,CUST005845,PRD00347,ORD00001682,2025-12-11,2,Average quality,Negative
REV0000260,CUST002852,PRD00524,ORD00001687,2022-11-17,5,Good product,Positive
REV0000261,CUST003709,PRD00686,ORD00001693,2025-02-13,2,Excellent experience,Negative
REV0000262,CUST012652,PRD00962,ORD00001717,2024-11-28,3,Value for money,Neutral
REV0000263,CUST002026,PRD00366,ORD00001729,2023-09-27,4,Average quality,Positive
REV0000264,CUST005584,PRD00998,ORD00001734,2022-10-22,5,Good product,Positive
REV0000265,CUST008144,PRD00372,ORD00001743,2024-05-19,4,Value for money,Positive
REV0000266,CUST008632,PRD00563,ORD00001771,2023-02-07,4,Good product,Positive
REV0000267,CUST002342,PRD00475,ORD00001772,2025-10-04,3,Excellent experience,Neutral
REV0000268,CUST006837,PRD00037,ORD00001780,2024-04-20,4,Not satisfied,Positive
REV0000269,CUST002687,PRD00171,ORD00001785,2024-02-19,4,Late delivery,Positive
REV0000270,CUST012522,PRD00661,ORD00001786,2023-10-10,5,Late delivery,Positive
REV0000271,CUST011071,PRD00052,ORD00001789,2023-06-17,3,Value for money,Neutral
REV0000272,CUST008328,PRD00786,ORD00001793,2025-08-22,5,Excellent experience,Positive
REV0000273,CUST002504,PRD00261,ORD00001796,2023-06-15,4,Good product,Positive
REV0000274,CUST012381,PRD00545,ORD00001806,2024-09-02,4,Not satisfied,Positive
REV0000275,CUST004056,PRD00874,ORD00001817,2024-09-21,3,Excellent experience,Neutral
REV0000276,CUST002571,PRD00971,ORD00001818,2025-03-28,3,Good product,Neutral
REV0000277,CUST012873,PRD00766,ORD00001820,2025-07-31,4,Late delivery,Positive
REV0000278,CUST010060,PRD00589,ORD00001825,2022-11-30,1,Average quality,Negative
REV0000279,CUST010574,PRD00140,ORD00001829,2022-05-27,5,Good product,Positive
REV0000280,CUST010631,PRD00961,ORD00001839,2024-05-19,5,Good product,Positive
REV0000281,CUST004535,PRD00267,ORD00001846,2024-06-15,4,Average quality,Positive
REV0000282,CUST008193,PRD00125,ORD00001847,2025-02-28,5,Good product,Positive
REV0000283,CUST011963,PRD00648,ORD00001852,2022-11-09,5,Good product,Positive
REV0000284,CUST007429,PRD00968,ORD00001856,2025-05-29,4,Excellent experience,Positive
REV0000285,CUST012554,PRD00927,ORD00001863,2022-07-04,1,Excellent experience,Negative
REV0000286,CUST008262,PRD00970,ORD00001872,2023-09-09,5,Average quality,Positive
REV0000287,CUST013112,PRD00131,ORD00001874,2025-09-19,3,Good product,Neutral
REV0000288,CUST000401,PRD00401,ORD00001876,2022-11-09,4,Good product,Positive
REV0000289,CUST008994,PRD00469,ORD00001880,2022-10-01,5,Not satisfied,Positive
REV0000290,CUST007507,PRD00149,ORD00001887,2024-12-28,4,Good product,Positive
REV0000291,CUST003075,PRD00376,ORD00001890,2023-09-11,5,Value for money,Positive
REV0000292,CUST013081,PRD00891,ORD00001891,2022-03-07,3,Average quality,Neutral
REV0000293,CUST012840,PRD00446,ORD00001894,2025-10-09,4,Excellent experience,Positive
REV0000294,CUST002782,PRD00614,ORD00001900,2024-11-20,2,Excellent experience,Negative
REV0000295,CUST009490,PRD00207,ORD00001904,2024-09-08,5,Not satisfied,Positive
REV0000296,CUST002203,PRD00219,ORD00001909,2022-10-23,3,Average quality,Neutral
REV0000297,CUST010124,PRD00815,ORD00001924,2022-04-29,4,Good product,Positive
REV0000298,CUST001880,PRD00482,ORD00001925,2022-12-20,3,Not satisfied,Neutral
REV0000299,CUST010756,PRD00740,ORD00001931,2025-03-30,4,Value for money,Positive
REV0000300,CUST013792,PRD00096,ORD00001936,2023-10-27,5,Excellent experience,Positive
REV0000301,CUST006867,PRD00430,ORD00001942,2025-04-15,4,Excellent experience,Positive
REV0000302,CUST006115,PRD00457,ORD00001943,2022-06-15,3,Good product,Neutral
REV0000303,CUST009670,PRD00488,ORD00001949,2023-07-19,3,Not satisfied,Neutral
REV0000304,CUST006509,PRD00159,ORD00001966,2024-04-09,4,Good product,Positive
REV0000305,CUST007664,PRD00904,ORD00001970,2025-03-13,3,Good product,Neutral
REV0000306,CUST012162,PRD00908,ORD00001977,2023-12-25,3,Value for money,Neutral
REV0000307,CUST011839,PRD00830,ORD00001979,2022-06-12,4,Excellent experience,Positive
REV0000308,CUST013597,PRD00780,ORD00001984,2022-02-24,4,Value for money,Positive
REV0000309,CUST010576,PRD00416,ORD00001986,2023-02-18,4,Value for money,Positive
REV0000310,CUST013858,PRD00137,ORD00001987,2022-04-04,4,Excellent experience,Positive
REV0000311,CUST003008,PRD00034,ORD00001988,2023-09-21,4,Excellent experience,Positive
REV0000312,CUST003063,PRD00948,ORD00001989,2023-12-24,4,Value for money,Positive
REV0000313,CUST013753,PRD00471,ORD00001991,2025-09-19,3,Late delivery,Neutral
REV0000314,CUST006392,PRD00082,ORD00002000,2023-09-23,4,Excellent experience,Positive
REV0000315,CUST009714,PRD00251,ORD00002004,2025-12-27,5,Good product,Positive
REV0000316,CUST002031,PRD00455,ORD00002009,2022-01-18,2,Late delivery,Negative
REV0000317,CUST011950,PRD00995,ORD00002012,2025-11-24,5,Excellent experience,Positive
