Product_ID,Warehouse_ID,Warehouse_City,Stock_Available,Reorder_Level,Reorder_Qty,Last_Stock_Update,Inventory_Value
PRD00028,WH008,Dubai,534,116,231,2025-12-30,41577.24
PRD00028,WH001,Bangalore,474,35,244,2025-12-29,36905.64
PRD00028,WH006,Kolkata,294,93,66,2025-12-31,22890.84
PRD00028,WH003,Delhi,824,106,142,2025-12-08,64156.64
PRD00029,WH002,Mumbai,890,52,120,2025-12-19,3646890.7
PRD00029,WH003,Delhi,271,75,221,2025-12-24,1110457.73
PRD00029,WH004,Hyderabad,446,45,269,2025-12-10,1827542.98
PRD00030,WH005,Chennai,386,35,295,2025-12-02,5628045.98
PRD00030,WH004,Hyderabad,544,70,62,2025-12-13,7931753.92
PRD00030,WH001,Bangalore,642,83,87,2025-12-12,9360636.06
PRD00031,WH008,Dubai,357,113,142,2025-12-30,335565.72
PRD00031,WH006,Kolkata,356,40,158,2025-12-27,334625.76
PRD00031,WH002,Mumbai,522,50,197,2025-12-05,490659.12
PRD00031,WH003,Delhi,710,89,289,2025-12-16,667371.6
PRD00031,WH005,Chennai,94,94,227,2025-12-11,88356.24
PRD00032,WH004,Hyderabad,772,111,78,2025-12-25,1381370.48
PRD00032,WH003,Delhi,192,38,133,2025-12-24,343553.28
PRD00032,WH006,Kolkata,602,60,274,2025-12-29,1077182.68
PRD00032,WH005,Chennai,224,51,85,2025-12-10,400812.16
PRD00032,WH002,Mumbai,119,108,73,2025-12-25,212931.46
PRD00033,WH002,Mumbai,717,103,237,2025-12-26,22904048.76
PRD00033,WH007,Bhubaneswar,80,91,119,2025-12-14,2555542.4
PRD00034,WH003,Delhi,795,113,191,2025-12-16,1165295.1
PRD00034,WH006,Kolkata,655,65,287,2025-12-11,960085.9
PRD00034,WH002,Mumbai,791,57,227,2025-12-10,1159431.98
PRD00034,WH001,Bangalore,407,24,283,2025-12-28,596572.46
PRD00035,WH005,Chennai,545,51,218,2025-12-13,1719273.35
PRD00035,WH008,Dubai,275,27,121,2025-12-22,867523.25
PRD00036,WH007,Bhubaneswar,496,63,187,2025-12-26,4547208.96
PRD00036,WH001,Bangalore,704,83,104,2025-12-10,6454103.04
PRD00037,WH003,Delhi,445,71,128,2025-12-19,50876164.7
PRD00037,WH006,Kolkata,154,68,59,2025-12-24,17606582.84
PRD00037,WH005,Chennai,11,33,251,2025-12-31,1257613.06
PRD00038,WH008,Dubai,652,104,279,2025-12-19,1268537.72
PRD00038,WH005,Chennai,91,113,132,2025-12-24,177050.51
PRD00039,WH004,Hyderabad,120,67,291,2025-12-25,226808.4
PRD00039,WH008,Dubai,464,35,225,2025-12-23,876992.48
PRD00039,WH007,Bhubaneswar,244,107,52,2025-12-06,461177.08
PRD00039,WH001,Bangalore,763,93,269,2025-12-07,1442123.41
PRD00039,WH006,Kolkata,332,103,124,2025-12-18,627503.24
PRD00040,WH003,Delhi,320,23,128,2025-12-13,368396.8
PRD00040,WH008,Dubai,869,29,280,2025-12-06,1000427.56
PRD00040,WH005,Chennai,702,84,204,2025-12-24,808170.48
PRD00040,WH004,Hyderabad,175,104,258,2025-12-10,201467.0
PRD00041,WH003,Delhi,699,75,155,2025-12-18,1443903.33
PRD00041,WH002,Mumbai,247,28,135,2025-12-15,510220.49
PRD00041,WH005,Chennai,340,53,106,2025-12-29,702327.8
PRD00042,WH001,Bangalore,620,94,130,2025-12-12,1047787.6
PRD00042,WH002,Mumbai,108,103,293,2025-12-18,182517.84
PRD00043,WH005,Chennai,423,48,120,2025-12-08,12192492.78
PRD00043,WH004,Hyderabad,133,72,242,2025-12-27,3833573.38
PRD00043,WH001,Bangalore,587,67,59,2025-12-16,16919605.82
PRD00043,WH002,Mumbai,834,34,262,2025-12-19,24039099.24
PRD00044,WH003,Delhi,448,72,215,2025-12-25,26667818.24
PRD00044,WH006,Kolkata,159,94,95,2025-12-24,9464694.42
PRD00044,WH004,Hyderabad,888,106,200,2025-12-02,52859425.44
PRD00044,WH001,Bangalore,620,91,146,2025-12-22,36906355.6
PRD00045,WH004,Hyderabad,355,41,88,2025-12-01,202641.1
PRD00045,WH005,Chennai,221,68,256,2025-12-27,126151.22
PRD00045,WH003,Delhi,289,68,168,2025-12-08,164966.98
PRD00045,WH007,Bhubaneswar,529,90,231,2025-12-14,301963.78
PRD00046,WH004,Hyderabad,84,54,136,2025-12-16,864730.44
PRD00046,WH001,Bangalore,48,29,193,2025-12-18,494131.68
PRD00046,WH003,Delhi,103,66,189,2025-12-21,1060324.23
PRD00047,WH007,Bhubaneswar,114,44,139,2025-12-25,270935.82
PRD00047,WH006,Kolkata,247,44,54,2025-12-30,587027.61
PRD00047,WH003,Delhi,513,29,225,2025-12-30,1219211.19
PRD00048,WH003,Delhi,149,120,213,2025-12-16,13438098.42
PRD00048,WH005,Chennai,80,69,91,2025-12-08,7215086.4
PRD00048,WH007,Bhubaneswar,616,98,198,2025-12-15,55556165.28
PRD00049,WH007,Bhubaneswar,463,107,80,2025-12-15,793887.58
PRD00049,WH006,Kolkata,554,84,75,2025-12-21,949921.64
PRD00050,WH001,Bangalore,360,24,210,2025-12-13,12059348.4
PRD00050,WH006,Kolkata,426,20,152,2025-12-23,14270228.94
PRD00050,WH005,Chennai,893,76,263,2025-12-03,29913883.67
PRD00050,WH003,Delhi,185,55,279,2025-12-28,6197165.15
PRD00051,WH002,Mumbai,244,76,142,2025-12-22,404508.08
PRD00051,WH005,Chennai,704,27,128,2025-12-24,1167105.28
PRD00051,WH008,Dubai,828,62,240,2025-12-14,1372674.96
PRD00051,WH003,Delhi,78,117,155,2025-12-02,129309.96
PRD00052,WH001,Bangalore,707,70,176,2025-12-12,42866604.83
PRD00052,WH006,Kolkata,887,29,200,2025-12-23,53780309.03
PRD00052,WH004,Hyderabad,529,66,287,2025-12-04,32074164.01
PRD00053,WH004,Hyderabad,463,82,204,2025-12-05,309182.14
PRD00053,WH008,Dubai,803,83,160,2025-12-23,536227.34
PRD00053,WH003,Delhi,567,42,213,2025-12-29,378631.26
PRD00053,WH006,Kolkata,684,23,178,2025-12-19,456761.52
PRD00054,WH004,Hyderabad,202,46,100,2025-12-11,1505152.5
PRD00054,WH007,Bhubaneswar,525,81,182,2025-12-21,3911906.25
PRD00054,WH003,Delhi,83,108,60,2025-12-20,618453.75
PRD00055,WH007,Bhubaneswar,823,88,95,2025-12-28,1194148.31
PRD00055,WH001,Bangalore,137,70,245,2025-12-21,198782.89
PRD00056,WH006,Kolkata,53,34,132,2025-12-05,193681.08
PRD00056,WH004,Hyderabad,281,64,75,2025-12-06,1026875.16
PRD00056,WH003,Delhi,391,111,148,2025-12-18,1428854.76
PRD00056,WH008,Dubai,161,84,84,2025-12-02,588351.96
PRD00057,WH007,Bhubaneswar,523,79,195,2025-12-10,35335412.39
PRD00057,WH005,Chennai,880,86,170,2025-12-03,59455378.4
PRD00058,WH001,Bangalore,867,33,166,2025-12-08,1090790.04
PRD00058,WH005,Chennai,886,111,215,2025-12-14,1114694.32
PRD00058,WH002,Mumbai,236,55,194,2025-12-12,296916.32
PRD00059,WH002,Mumbai,231,96,184,2025-12-22,405236.37
PRD00059,WH005,Chennai,578,102,103,2025-12-21,1013968.06
PRD00059,WH006,Kolkata,163,61,155,2025-12-26,285946.01
PRD00060,WH006,Kolkata,525,92,231,2025-12-10,1101014.25
PRD00060,WH001,Bangalore,322,85,235,2025-12-06,675288.74
PRD00061,WH006,Kolkata,332,60,77,2025-12-05,250925.6
PRD00061,WH004,Hyderabad,276,52,279,2025-12-16,208600.8
PRD00061,WH007,Bhubaneswar,876,66,211,2025-12-12,662080.8
PRD00062,WH006,Kolkata,142,56,54,2025-12-30,70627.96
PRD00062,WH001,Bangalore,731,75,129,2025-12-05,363584.78
PRD00063,WH002,Mumbai,555,63,62,2025-12-15,6634048.2
PRD00063,WH005,Chennai,5,38,265,2025-12-22,59766.2
PRD00063,WH007,Bhubaneswar,870,78,239,2025-12-21,10399318.8
PRD00063,WH004,Hyderabad,551,78,292,2025-12-05,6586235.24
PRD00064,WH003,Delhi,46,103,155,2025-12-28,107708.08
PRD00064,WH008,Dubai,575,33,223,2025-12-03,1346351.0
PRD00064,WH006,Kolkata,416,50,222,2025-12-04,974055.68
PRD00065,WH004,Hyderabad,810,98,76,2025-12-31,2892817.8
PRD00065,WH001,Bangalore,752,42,85,2025-12-20,2685677.76
PRD00065,WH002,Mumbai,820,60,295,2025-12-22,2928531.6
PRD00065,WH005,Chennai,430,86,126,2025-12-01,1535693.4
PRD00066,WH006,Kolkata,646,119,58,2025-12-25,1700963.22
PRD00066,WH004,Hyderabad,203,65,128,2025-12-25,534513.21
PRD00067,WH003,Delhi,754,65,70,2025-12-27,626649.4
PRD00067,WH005,Chennai,788,111,276,2025-12-30,654906.8
PRD00067,WH004,Hyderabad,419,93,236,2025-12-29,348230.9
PRD00067,WH007,Bhubaneswar,733,76,232,2025-12-28,609196.3
PRD00068,WH003,Delhi,191,83,216,2025-12-07,21581.09
PRD00068,WH005,Chennai,424,119,298,2025-12-20,47907.76
PRD00068,WH002,Mumbai,114,53,90,2025-12-19,12880.86
PRD00069,WH007,Bhubaneswar,483,103,132,2025-12-17,291611.25
PRD00069,WH008,Dubai,457,38,184,2025-12-08,275913.75
PRD00069,WH005,Chennai,746,109,162,2025-12-25,450397.5
PRD00070,WH007,Bhubaneswar,885,86,195,2025-12-16,1399512.45
PRD00070,WH001,Bangalore,316,115,269,2025-12-28,499712.92
PRD00070,WH003,Delhi,707,44,201,2025-12-30,1118028.59
PRD00070,WH002,Mumbai,433,91,252,2025-12-18,684733.21
PRD00070,WH005,Chennai,13,60,274,2025-12-21,20557.81
PRD00071,WH003,Delhi,893,105,80,2025-12-16,31169075.54
PRD00071,WH005,Chennai,231,112,116,2025-12-10,8062773.18
PRD00071,WH008,Dubai,722,88,173,2025-12-09,25200529.16
PRD00072,WH006,Kolkata,233,32,181,2025-12-24,95019.73
PRD00072,WH008,Dubai,52,23,245,2025-12-24,21206.12
PRD00072,WH005,Chennai,571,37,282,2025-12-05,232859.51
PRD00072,WH002,Mumbai,675,24,162,2025-12-18,275271.75
PRD00072,WH003,Delhi,15,53,51,2025-12-20,6117.15
PRD00073,WH008,Dubai,500,23,149,2025-12-09,1560250.0
PRD00073,WH006,Kolkata,2,24,138,2025-12-28,6241.0
PRD00073,WH005,Chennai,742,52,286,2025-12-15,2315411.0
PRD00074,WH003,Delhi,366,85,112,2025-12-04,195465.96
PRD00074,WH004,Hyderabad,475,72,54,2025-12-17,253678.5
PRD00074,WH006,Kolkata,161,45,275,2025-12-25,85983.66
PRD00074,WH005,Chennai,701,21,141,2025-12-28,374376.06
PRD00075,WH003,Delhi,523,50,107,2025-12-08,48017377.89
PRD00075,WH006,Kolkata,307,79,148,2025-12-09,28186109.01
PRD00075,WH007,Bhubaneswar,824,54,245,2025-12-25,75652618.32
PRD00075,WH004,Hyderabad,398,23,296,2025-12-26,36540949.14
PRD00075,WH008,Dubai,119,73,296,2025-12-23,10925560.17
PRD00076,WH001,Bangalore,290,37,241,2025-12-31,231280.8
PRD00076,WH004,Hyderabad,352,110,119,2025-12-28,280727.04
PRD00077,WH005,Chennai,20,54,263,2025-12-09,1156466.0
PRD00077,WH004,Hyderabad,517,71,247,2025-12-15,29894646.1
PRD00078,WH005,Chennai,234,120,64,2025-12-23,2138544.72
PRD00078,WH002,Mumbai,706,69,95,2025-12-14,6452190.48
PRD00079,WH006,Kolkata,855,46,123,2025-12-03,278952.3
PRD00079,WH001,Bangalore,737,51,70,2025-12-04,240453.62
PRD00079,WH005,Chennai,257,26,157,2025-12-12,83848.82
PRD00080,WH006,Kolkata,37,58,140,2025-12-19,2086358.96
PRD00080,WH003,Delhi,366,102,102,2025-12-25,20638037.28
PRD00080,WH005,Chennai,291,48,193,2025-12-13,16408931.28
PRD00080,WH008,Dubai,38,33,73,2025-12-19,2142747.04
PRD00080,WH007,Bhubaneswar,789,41,184,2025-12-06,44490195.12
PRD00081,WH007,Bhubaneswar,538,31,160,2025-12-17,937814.7
PRD00081,WH005,Chennai,828,30,199,2025-12-10,1443328.2
PRD00081,WH006,Kolkata,39,26,257,2025-12-22,67982.85
PRD00081,WH001,Bangalore,228,56,207,2025-12-10,397438.2
PRD00081,WH004,Hyderabad,46,61,178,2025-12-31,80184.9
PRD00082,WH008,Dubai,237,112,164,2025-12-22,487980.63
PRD00082,WH004,Hyderabad,652,44,232,2025-12-23,1342461.48
PRD00083,WH005,Chennai,232,31,159,2025-12-27,4545745.36
PRD00083,WH003,Delhi,661,88,125,2025-12-17,12951455.53
PRD00083,WH008,Dubai,19,54,147,2025-12-08,372280.87
PRD00083,WH006,Kolkata,540,83,266,2025-12-02,10580614.2
PRD00084,WH003,Delhi,208,81,67,2025-12-21,621052.64
PRD00084,WH002,Mumbai,439,60,268,2025-12-08,1310779.37
PRD00085,WH001,Bangalore,687,103,106,2025-12-10,39451071.18
PRD00085,WH002,Mumbai,375,81,73,2025-12-24,21534427.5
PRD00085,WH004,Hyderabad,880,38,53,2025-12-30,50534123.2
PRD00086,WH007,Bhubaneswar,181,108,157,2025-12-30,38875.18
PRD00086,WH008,Dubai,373,102,207,2025-12-30,80112.94
PRD00087,WH006,Kolkata,573,115,76,2025-12-09,1050664.26
PRD00087,WH001,Bangalore,792,76,155,2025-12-14,1452227.04
PRD00087,WH005,Chennai,794,53,283,2025-12-15,1455894.28
PRD00087,WH007,Bhubaneswar,519,64,273,2025-12-14,951648.78
PRD00087,WH003,Delhi,770,116,118,2025-12-23,1411887.4
PRD00088,WH003,Delhi,454,24,215,2025-12-05,2118109.76
PRD00088,WH007,Bhubaneswar,638,23,123,2025-12-06,2976550.72
PRD00088,WH004,Hyderabad,335,118,155,2025-12-12,1562922.4
PRD00088,WH008,Dubai,757,74,269,2025-12-13,3531738.08
PRD00088,WH002,Mumbai,60,48,59,2025-12-06,279926.4
PRD00089,WH005,Chennai,189,46,251,2025-12-13,523012.14
PRD00089,WH003,Delhi,122,74,219,2025-12-06,337605.72
PRD00089,WH007,Bhubaneswar,260,67,148,2025-12-30,719487.6
PRD00090,WH006,Kolkata,311,95,79,2025-12-20,94422.71
PRD00090,WH003,Delhi,763,117,256,2025-12-11,231654.43
PRD00090,WH001,Bangalore,254,20,293,2025-12-01,77116.94
PRD00090,WH007,Bhubaneswar,764,34,173,2025-12-31,231958.04
PRD00090,WH004,Hyderabad,606,104,130,2025-12-17,183987.66
PRD00091,WH001,Bangalore,785,93,114,2025-12-23,7105144.9
PRD00091,WH005,Chennai,504,115,70,2025-12-07,4561774.56
PRD00092,WH004,Hyderabad,226,106,300,2025-12-29,5476658.0
PRD00092,WH002,Mumbai,637,111,241,2025-12-20,15436421.0
PRD00093,WH004,Hyderabad,239,31,134,2025-12-13,362842.63
PRD00093,WH007,Bhubaneswar,728,96,116,2025-12-12,1105227.76
PRD00093,WH008,Dubai,152,22,197,2025-12-11,230761.84
PRD00093,WH003,Delhi,403,24,183,2025-12-07,611822.51
PRD00093,WH005,Chennai,43,61,220,2025-12-02,65281.31
PRD00094,WH005,Chennai,873,115,109,2025-12-01,3341721.78
PRD00094,WH002,Mumbai,490,116,138,2025-12-27,1875651.4
PRD00095,WH002,Mumbai,138,26,232,2025-12-08,163757.7
PRD00095,WH004,Hyderabad,8,68,261,2025-12-19,9493.2
PRD00095,WH001,Bangalore,165,84,62,2025-12-05,195797.25
PRD00096,WH005,Chennai,533,71,177,2025-12-17,2225983.89
PRD00096,WH008,Dubai,387,72,74,2025-12-05,1616239.71
PRD00097,WH001,Bangalore,806,111,293,2025-12-29,27710280.0
PRD00097,WH008,Dubai,765,99,132,2025-12-14,26300700.0
PRD00097,WH006,Kolkata,222,29,130,2025-12-02,7632360.0
PRD00097,WH002,Mumbai,750,70,224,2025-12-31,25785000.0
PRD00097,WH003,Delhi,397,30,52,2025-12-15,13648860.0
PRD00098,WH004,Hyderabad,797,110,110,2025-12-08,5533188.44
PRD00098,WH007,Bhubaneswar,618,40,236,2025-12-26,4290477.36
PRD00098,WH008,Dubai,438,26,70,2025-12-21,3040823.76
PRD00098,WH002,Mumbai,734,42,221,2025-12-03,5095809.68
PRD00098,WH006,Kolkata,696,77,300,2025-12-12,4831993.92
PRD00099,WH006,Kolkata,595,50,249,2025-12-28,26605270.3
PRD00099,WH001,Bangalore,419,120,225,2025-12-20,18735476.06
PRD00099,WH005,Chennai,582,117,95,2025-12-18,26023978.68
PRD00100,WH007,Bhubaneswar,80,92,85,2025-12-03,98442.4
PRD00100,WH003,Delhi,894,105,144,2025-12-17,1100093.82
PRD00100,WH005,Chennai,899,86,88,2025-12-13,1106246.47
PRD00100,WH006,Kolkata,706,79,284,2025-12-29,868754.18
PRD00100,WH004,Hyderabad,580,67,189,2025-12-23,713707.4
PRD00101,WH006,Kolkata,181,49,155,2025-12-09,203918.22
PRD00101,WH007,Bhubaneswar,582,22,111,2025-12-17,655692.84
PRD00102,WH001,Bangalore,429,46,156,2025-12-15,2000538.54
PRD00102,WH002,Mumbai,39,73,141,2025-12-14,181867.14
PRD00102,WH008,Dubai,471,39,230,2025-12-30,2196395.46
PRD00103,WH008,Dubai,246,106,146,2025-12-15,781502.64
PRD00103,WH004,Hyderabad,550,57,242,2025-12-07,1747262.0
PRD00103,WH005,Chennai,662,93,273,2025-12-30,2103068.08
PRD00103,WH002,Mumbai,657,113,220,2025-12-20,2087183.88
PRD00103,WH007,Bhubaneswar,581,111,300,2025-12-20,1845744.04
PRD00104,WH007,Bhubaneswar,342,59,284,2025-12-15,87175.8
PRD00104,WH002,Mumbai,608,108,134,2025-12-14,154979.2
PRD00104,WH003,Delhi,248,76,260,2025-12-24,63215.2
PRD00105,WH001,Bangalore,742,116,248,2025-12-17,67597149.76
PRD00105,WH004,Hyderabad,159,48,262,2025-12-13,14485103.52
PRD00105,WH006,Kolkata,44,88,72,2025-12-14,4008456.32
PRD00106,WH001,Bangalore,519,74,58,2025-12-13,2063658.18
PRD00106,WH004,Hyderabad,509,106,195,2025-12-24,2023895.98
PRD00106,WH008,Dubai,372,99,57,2025-12-25,1479153.84
PRD00106,WH003,Delhi,122,25,138,2025-12-14,485098.84
PRD00107,WH008,Dubai,369,53,263,2025-12-11,1566515.7
PRD00107,WH002,Mumbai,213,89,97,2025-12-20,904248.9
PRD00107,WH005,Chennai,447,44,195,2025-12-08,1897649.1
PRD00108,WH007,Bhubaneswar,379,23,292,2025-12-18,1712299.26
PRD00108,WH008,Dubai,263,56,138,2025-12-13,1188218.22
PRD00108,WH003,Delhi,145,62,196,2025-12-24,655101.3
PRD00109,WH001,Bangalore,564,39,211,2025-12-27,199069.44
PRD00109,WH007,Bhubaneswar,382,41,232,2025-12-28,134830.72
PRD00109,WH002,Mumbai,183,30,170,2025-12-28,64591.68
PRD00109,WH004,Hyderabad,757,37,51,2025-12-20,267190.72
PRD00109,WH005,Chennai,189,85,224,2025-12-15,66709.44
PRD00110,WH001,Bangalore,535,91,172,2025-12-28,2557219.75
PRD00110,WH007,Bhubaneswar,697,25,114,2025-12-20,3331555.45
PRD00111,WH006,Kolkata,811,63,128,2025-12-25,1543284.34
PRD00111,WH004,Hyderabad,244,30,146,2025-12-29,464317.36
PRD00112,WH004,Hyderabad,5,66,50,2025-12-01,82485.0
PRD00112,WH002,Mumbai,685,112,114,2025-12-24,11300445.0
PRD00112,WH001,Bangalore,349,61,99,2025-12-06,5757453.0
PRD00112,WH007,Bhubaneswar,40,110,261,2025-12-27,659880.0
PRD00112,WH008,Dubai,550,96,123,2025-12-18,9073350.0
PRD00113,WH008,Dubai,757,70,227,2025-12-08,2075974.09
PRD00113,WH006,Kolkata,359,119,93,2025-12-04,984510.83
PRD00113,WH007,Bhubaneswar,830,106,168,2025-12-29,2276167.1
PRD00113,WH004,Hyderabad,85,85,139,2025-12-16,233101.45
PRD00114,WH005,Chennai,199,67,295,2025-12-15,6914268.93
PRD00114,WH003,Delhi,79,34,171,2025-12-05,2744860.53
PRD00115,WH006,Kolkata,575,114,227,2025-12-30,24149557.25
PRD00115,WH003,Delhi,741,79,256,2025-12-17,31121429.43
PRD00115,WH005,Chennai,631,111,235,2025-12-31,26501514.13
PRD00115,WH008,Dubai,895,27,177,2025-12-08,37589310.85
PRD00115,WH007,Bhubaneswar,235,59,53,2025-12-24,9869819.05
PRD00116,WH002,Mumbai,891,114,130,2025-12-18,959214.96
PRD00116,WH004,Hyderabad,609,42,71,2025-12-30,655625.04
PRD00116,WH005,Chennai,395,41,245,2025-12-25,425241.2
PRD00117,WH005,Chennai,502,42,173,2025-12-12,207331.02
PRD00117,WH002,Mumbai,406,64,107,2025-12-07,167682.06
PRD00117,WH001,Bangalore,713,48,206,2025-12-18,294476.13
PRD00118,WH008,Dubai,218,118,238,2025-12-10,2091454.94
PRD00118,WH001,Bangalore,778,91,289,2025-12-17,7463999.74
PRD00118,WH004,Hyderabad,250,101,139,2025-12-17,2398457.5
PRD00118,WH007,Bhubaneswar,281,50,71,2025-12-25,2695866.23
PRD00119,WH006,Kolkata,158,50,108,2025-12-25,31032.78
PRD00119,WH003,Delhi,7,34,148,2025-12-08,1374.87
PRD00119,WH008,Dubai,490,88,96,2025-12-18,96240.9
PRD00120,WH006,Kolkata,277,66,78,2025-12-31,286129.92
