Visit_ID,Customer_ID,Visit_Date,Device_Type,Browser,Traffic_Source,Page_Views,Session_Duration_Seconds,Cart_Additions,Checkout_Started
VIS00000037,CUST011521,2024-09-28,Desktop,Chrome,SEO,11,1161,2,1
VIS00000038,CUST000785,2024-09-04,Desktop,Safari,Direct,15,1199,3,0
VIS00000039,CUST013809,2022-02-01,Tablet,Chrome,WhatsApp,16,1780,1,0
VIS00000040,CUST010193,2024-04-19,Mobile,Edge,Instagram,9,465,1,0
VIS00000041,CUST005617,2022-03-03,Mobile,Edge,YouTube,7,872,4,0
VIS00000042,CUST010313,2023-12-26,Tablet,Edge,Instagram,2,374,0,1
VIS00000043,CUST000253,2024-10-03,Mobile,Safari,Google Ads,17,1147,5,0
VIS00000044,CUST013047,2025-08-09,Mobile,Chrome,SEO,14,468,5,0
VIS00000045,CUST013189,2022-10-12,Desktop,Firefox,Google Ads,1,402,4,0
VIS00000046,CUST000369,2023-01-24,Tablet,Safari,Direct,13,1497,5,0
VIS00000047,CUST013615,2024-09-28,Mobile,Edge,YouTube,11,932,1,1
VIS00000048,CUST010562,2023-01-25,Desktop,Safari,SEO,17,275,0,1
VIS00000049,CUST002167,2023-11-19,Mobile,Chrome,Google Ads,6,677,1,1
VIS00000050,CUST014084,2023-11-02,Tablet,Chrome,Facebook,5,569,1,1
VIS00000051,CUST006985,2025-06-11,Mobile,Safari,Direct,11,1690,1,0
VIS00000052,CUST007418,2023-12-07,Mobile,Edge,WhatsApp,16,287,2,0
VIS00000053,CUST011970,2024-09-30,Tablet,Safari,Instagram,2,1555,2,1
VIS00000054,CUST013882,2024-04-15,Mobile,Safari,YouTube,4,1008,5,0
VIS00000055,CUST006001,2025-08-22,Mobile,Edge,YouTube,18,930,2,1
VIS00000056,CUST009097,2022-06-15,Mobile,Firefox,YouTube,12,198,2,1
VIS00000057,CUST004901,2024-10-31,Desktop,Edge,WhatsApp,16,1687,3,0
VIS00000058,CUST005393,2022-09-26,Mobile,Safari,Facebook,15,1339,3,1
VIS00000059,CUST002058,2025-02-15,Mobile,Edge,Direct,14,359,1,0
VIS00000060,CUST012876,2025-07-29,Mobile,Firefox,Direct,5,155,4,0
VIS00000061,CUST014514,2022-02-02,Tablet,Chrome,Facebook,12,1669,5,1
VIS00000062,CUST002232,2025-04-09,Mobile,Chrome,YouTube,1,750,3,0
VIS00000063,CUST014706,2023-07-21,Mobile,Chrome,SEO,9,303,3,0
VIS00000064,CUST005512,2023-05-02,Tablet,Edge,WhatsApp,7,1764,0,1
VIS00000065,CUST008135,2022-04-12,Mobile,Firefox,Instagram,6,712,4,0
VIS00000066,CUST000782,2022-12-24,Mobile,Firefox,WhatsApp,9,1197,4,1
VIS00000067,CUST009108,2022-12-30,Tablet,Firefox,Google Ads,10,394,3,1
VIS00000068,CUST008998,2025-11-25,Tablet,Edge,YouTube,9,1602,0,0
VIS00000069,CUST009141,2025-05-17,Tablet,Chrome,Instagram,13,33,1,0
VIS00000070,CUST013035,2025-12-10,Desktop,Edge,Google Ads,7,894,0,1
VIS00000071,CUST002339,2024-03-06,Mobile,Chrome,Facebook,12,716,1,1
VIS00000072,CUST003904,2025-05-15,Mobile,Safari,Direct,17,742,1,0
VIS00000073,CUST008188,2025-09-14,Desktop,Firefox,SEO,8,865,5,1
VIS00000074,CUST008677,2025-10-21,Desktop,Edge,WhatsApp,9,1688,1,1
VIS00000075,CUST003664,2024-12-18,Tablet,Chrome,Email,10,1236,5,1
VIS00000076,CUST001055,2023-02-13,Mobile,Chrome,Facebook,3,612,3,0
VIS00000077,CUST010237,2023-04-12,Mobile,Edge,Direct,15,1331,0,1
VIS00000078,CUST012207,2024-03-26,Desktop,Safari,Instagram,7,1265,1,1
VIS00000079,CUST011797,2022-01-12,Tablet,Edge,YouTube,6,693,0,0
VIS00000080,CUST003560,2024-12-21,Desktop,Safari,YouTube,8,1146,2,0
VIS00000081,CUST007587,2023-02-27,Tablet,Safari,Direct,11,1180,5,1
VIS00000082,CUST010389,2024-03-23,Mobile,Safari,WhatsApp,1,605,4,0
VIS00000083,CUST002476,2022-01-08,Desktop,Edge,SEO,15,23,4,0
VIS00000084,CUST013670,2022-03-11,Mobile,Safari,Google Ads,2,997,1,0
VIS00000085,CUST011617,2024-11-02,Mobile,Safari,Affiliate,12,809,2,1
VIS00000086,CUST003429,2022-04-03,Tablet,Edge,Direct,2,1572,0,1
VIS00000087,CUST007238,2023-04-26,Desktop,Chrome,WhatsApp,16,741,4,1
VIS00000088,CUST013211,2023-08-25,Desktop,Safari,SEO,17,1357,5,1
VIS00000089,CUST008894,2022-06-11,Mobile,Safari,YouTube,6,1079,4,0
VIS00000090,CUST009532,2022-08-29,Mobile,Safari,Instagram,12,1500,2,1
VIS00000091,CUST013930,2025-07-23,Tablet,Chrome,SEO,3,747,4,0
VIS00000092,CUST006627,2023-03-06,Mobile,Chrome,WhatsApp,13,1255,2,1
VIS00000093,CUST003565,2025-11-18,Tablet,Safari,Email,16,347,5,0
VIS00000094,CUST013491,2022-12-13,Tablet,Firefox,Email,16,868,5,0
VIS00000095,CUST004631,2025-10-31,Mobile,Safari,WhatsApp,4,1709,4,0
VIS00000096,CUST014760,2022-10-11,Tablet,Edge,Google Ads,14,774,2,0
VIS00000097,CUST004409,2024-08-24,Desktop,Edge,YouTube,14,335,5,0
VIS00000098,CUST013305,2024-05-26,Mobile,Edge,Direct,12,1340,1,1
VIS00000099,CUST008060,2024-10-30,Mobile,Chrome,Direct,5,1169,1,1
VIS00000100,CUST008561,2023-09-21,Mobile,Edge,WhatsApp,2,711,2,0
VIS00000101,CUST011051,2022-06-19,Tablet,Safari,Facebook,12,1336,4,0
VIS00000102,CUST001000,2025-01-02,Tablet,Chrome,Google Ads,13,1283,3,0
VIS00000103,CUST010860,2023-10-26,Desktop,Chrome,Instagram,17,316,4,0
VIS00000104,CUST011856,2022-08-06,Tablet,Chrome,Direct,18,991,5,1
VIS00000105,CUST005391,2023-12-08,Desktop,Chrome,Direct,16,1683,5,1
VIS00000106,CUST006232,2024-09-16,Desktop,Chrome,WhatsApp,8,1198,4,0
VIS00000107,CUST010730,2023-07-06,Tablet,Safari,WhatsApp,11,326,1,1
VIS00000108,CUST003627,2025-01-08,Mobile,Edge,Email,16,952,2,1
VIS00000109,CUST004716,2022-12-21,Mobile,Chrome,Email,9,1102,1,0
VIS00000110,CUST002781,2022-11-06,Tablet,Edge,Email,8,1728,4,0
VIS00000111,CUST003891,2022-05-15,Tablet,Chrome,Affiliate,8,543,5,0
VIS00000112,CUST005728,2023-05-16,Mobile,Chrome,Facebook,14,347,3,1
VIS00000113,CUST012544,2025-03-19,Desktop,Firefox,YouTube,14,1410,3,0
VIS00000114,CUST000705,2023-04-11,Desktop,Chrome,Instagram,2,64,1,1
VIS00000115,CUST010004,2022-01-09,Desktop,Firefox,Google Ads,1,1403,3,0
VIS00000116,CUST011980,2025-11-19,Tablet,Edge,Affiliate,10,1593,2,1
VIS00000117,CUST014918,2024-07-15,Desktop,Chrome,Affiliate,1,863,1,0
VIS00000118,CUST000467,2024-12-08,Tablet,Chrome,Direct,15,1106,2,0
VIS00000119,CUST000929,2024-01-30,Desktop,Safari,Google Ads,7,541,3,1
VIS00000120,CUST005465,2024-04-30,Mobile,Safari,Email,4,635,5,0
VIS00000121,CUST012115,2023-03-29,Tablet,Safari,Direct,17,89,4,0
VIS00000122,CUST013784,2023-05-27,Mobile,Chrome,Facebook,9,321,0,0
VIS00000123,CUST011548,2023-11-16,Tablet,Chrome,Direct,17,122,5,0
VIS00000124,CUST011559,2023-01-11,Mobile,Safari,Affiliate,16,238,2,1
VIS00000125,CUST010808,2025-10-31,Mobile,Safari,Instagram,17,140,4,1
VIS00000126,CUST007186,2022-10-13,Mobile,Chrome,YouTube,12,885,5,0
VIS00000127,CUST010893,2022-08-14,Mobile,Firefox,Direct,13,446,4,1
VIS00000128,CUST012423,2023-04-02,Mobile,Safari,YouTube,16,1537,2,0
VIS00000129,CUST014906,2022-08-10,Tablet,Firefox,Email,15,129,1,1
VIS00000130,CUST012616,2025-02-21,Desktop,Firefox,SEO,7,151,1,0
VIS00000131,CUST007104,2022-05-15,Tablet,Safari,SEO,5,1208,4,1
VIS00000132,CUST005775,2024-05-21,Tablet,Firefox,Direct,18,533,1,0
VIS00000133,CUST003523,2023-04-21,Mobile,Safari,Direct,5,999,1,1
VIS00000134,CUST009620,2025-01-02,Mobile,Firefox,Google Ads,16,1008,4,1
VIS00000135,CUST012173,2022-12-13,Desktop,Chrome,YouTube,11,25,0,1
VIS00000136,CUST006129,2022-11-01,Tablet,Safari,Instagram,16,905,3,1
VIS00000137,CUST004357,2024-09-11,Mobile,Safari,Affiliate,17,1580,2,1
VIS00000138,CUST010862,2023-04-01,Tablet,Chrome,WhatsApp,17,588,1,1
VIS00000139,CUST000397,2022-02-15,Desktop,Chrome,SEO,14,639,0,1
VIS00000140,CUST005973,2025-11-10,Tablet,Firefox,Facebook,15,198,2,0
VIS00000141,CUST011102,2024-01-02,Mobile,Firefox,Direct,7,1392,4,1
VIS00000142,CUST012369,2022-06-07,Desktop,Edge,SEO,5,740,3,0
VIS00000143,CUST003764,2024-05-01,Mobile,Chrome,Affiliate,6,1468,0,1
VIS00000144,CUST013726,2024-07-25,Mobile,Safari,YouTube,11,1012,0,1
VIS00000145,CUST003651,2025-03-14,Mobile,Edge,Email,14,966,3,1
VIS00000146,CUST011081,2022-01-18,Mobile,Firefox,Google Ads,16,970,1,0
VIS00000147,CUST005418,2025-03-30,Desktop,Safari,Google Ads,1,1404,3,0
VIS00000148,CUST005232,2023-10-07,Desktop,Safari,Direct,11,73,1,0
VIS00000149,CUST004651,2023-05-07,Desktop,Safari,Facebook,13,1249,4,1
VIS00000150,CUST015000,2025-07-27,Desktop,Chrome,SEO,12,991,1,0
VIS00000151,CUST009537,2023-12-03,Mobile,Chrome,Affiliate,12,52,4,0
VIS00000152,CUST014914,2023-03-08,Mobile,Edge,Instagram,18,620,0,1
VIS00000153,CUST009306,2024-04-14,Mobile,Firefox,Email,1,1113,5,0
VIS00000154,CUST001411,2023-07-17,Tablet,Chrome,Google Ads,8,425,5,1
VIS00000155,CUST003948,2022-10-24,Tablet,Safari,Google Ads,15,649,2,0
VIS00000156,CUST002970,2025-02-01,Tablet,Chrome,Affiliate,11,1101,3,1
VIS00000157,CUST001788,2022-08-21,Tablet,Chrome,Email,8,497,4,0
VIS00000158,CUST003166,2022-01-30,Tablet,Chrome,Google Ads,1,258,3,1
VIS00000159,CUST000492,2025-10-25,Mobile,Safari,SEO,11,1177,5,1
VIS00000160,CUST013306,2025-11-20,Desktop,Chrome,WhatsApp,15,366,0,1
VIS00000161,CUST006288,2023-10-10,Desktop,Firefox,YouTube,17,1305,2,1
VIS00000162,CUST007064,2025-06-22,Desktop,Chrome,YouTube,7,1040,1,0
VIS00000163,CUST009225,2023-07-04,Mobile,Safari,Facebook,11,686,1,0
VIS00000164,CUST005710,2025-05-23,Tablet,Edge,WhatsApp,12,992,5,1
VIS00000165,CUST010294,2025-01-23,Tablet,Safari,Direct,4,1624,4,1
VIS00000166,CUST004113,2025-07-31,Tablet,Edge,Instagram,8,244,0,0
VIS00000167,CUST001911,2024-09-28,Desktop,Safari,Affiliate,11,1194,0,1
VIS00000168,CUST008407,2022-12-31,Mobile,Edge,Direct,1,1676,4,1
VIS00000169,CUST000360,2022-12-19,Mobile,Chrome,Instagram,17,57,4,1
VIS00000170,CUST005063,2024-09-18,Tablet,Edge,Direct,4,1318,5,1
VIS00000171,CUST008727,2023-03-02,Tablet,Chrome,Affiliate,7,397,0,0
VIS00000172,CUST002741,2023-10-19,Desktop,Firefox,Affiliate,6,1412,5,1
VIS00000173,CUST001482,2024-10-17,Tablet,Safari,Instagram,8,1138,1,0
VIS00000174,CUST000684,2025-12-04,Mobile,Firefox,Facebook,14,1788,4,0
VIS00000175,CUST002307,2025-02-22,Desktop,Edge,Facebook,13,1382,5,1
VIS00000176,CUST013482,2024-11-29,Desktop,Edge,WhatsApp,14,692,5,0
VIS00000177,CUST001580,2025-10-08,Desktop,Firefox,Google Ads,9,57,0,0
VIS00000178,CUST008453,2023-05-13,Mobile,Edge,Email,18,868,3,1
VIS00000179,CUST010854,2022-10-09,Tablet,Firefox,Email,5,257,2,1
VIS00000180,CUST002722,2022-07-11,Mobile,Safari,SEO,14,525,3,0
VIS00000181,CUST011944,2023-03-08,Desktop,Chrome,WhatsApp,10,388,0,1
VIS00000182,CUST009811,2024-08-29,Desktop,Firefox,Email,10,1784,0,1
VIS00000183,CUST002002,2023-07-06,Mobile,Chrome,WhatsApp,3,103,1,0
VIS00000184,CUST013452,2024-11-25,Desktop,Edge,WhatsApp,14,395,5,0
VIS00000185,CUST011682,2022-07-15,Desktop,Safari,Email,3,75,4,0
VIS00000186,CUST011500,2023-04-06,Desktop,Chrome,WhatsApp,18,393,5,0
VIS00000187,CUST011207,2023-03-22,Tablet,Chrome,Direct,8,1088,2,0
VIS00000188,CUST012488,2023-03-01,Tablet,Edge,WhatsApp,6,1117,0,0
VIS00000189,CUST008188,2023-05-15,Desktop,Firefox,Email,12,1238,0,0
VIS00000190,CUST012691,2024-09-22,Tablet,Chrome,Google Ads,9,1481,1,1
VIS00000191,CUST002091,2023-07-03,Tablet,Safari,Affiliate,10,675,3,1
VIS00000192,CUST006760,2024-10-20,Desktop,Firefox,Direct,3,172,0,1
VIS00000193,CUST013110,2023-05-29,Mobile,Chrome,Google Ads,18,1545,0,1
VIS00000194,CUST013969,2023-04-03,Mobile,Edge,Email,16,421,5,1
VIS00000195,CUST003117,2023-03-20,Mobile,Chrome,Email,3,35,2,1
VIS00000196,CUST001914,2022-12-31,Desktop,Firefox,WhatsApp,8,280,1,0
VIS00000197,CUST010597,2024-08-11,Desktop,Edge,SEO,6,1210,4,1
VIS00000198,CUST008752,2022-06-27,Mobile,Firefox,Google Ads,13,375,1,1
VIS00000199,CUST000233,2024-07-05,Desktop,Edge,WhatsApp,13,1297,1,1
VIS00000200,CUST010276,2025-06-21,Tablet,Edge,Direct,15,1361,2,0
VIS00000201,CUST010394,2024-08-02,Tablet,Chrome,WhatsApp,12,1663,4,0
VIS00000202,CUST004152,2025-06-20,Desktop,Chrome,Email,4,1645,2,0
VIS00000203,CUST005475,2024-06-14,Desktop,Safari,YouTube,6,1344,2,1
VIS00000204,CUST014595,2024-02-18,Tablet,Firefox,Instagram,13,632,4,0
VIS00000205,CUST000402,2022-03-15,Desktop,Firefox,WhatsApp,18,1302,2,0
VIS00000206,CUST008071,2025-06-14,Tablet,Chrome,YouTube,17,1543,0,0
VIS00000207,CUST007297,2025-01-20,Desktop,Safari,WhatsApp,10,1760,0,1
VIS00000208,CUST012631,2023-01-11,Desktop,Edge,SEO,13,1464,3,1
VIS00000209,CUST013152,2025-04-11,Mobile,Firefox,Google Ads,18,1769,1,0
VIS00000210,CUST005492,2023-01-27,Mobile,Firefox,Affiliate,18,846,5,1
VIS00000211,CUST002178,2022-01-01,Tablet,Edge,Facebook,14,462,0,0
VIS00000212,CUST013394,2025-12-22,Mobile,Edge,WhatsApp,12,1159,2,0
VIS00000213,CUST014167,2024-10-23,Desktop,Safari,Instagram,2,1074,2,1
VIS00000214,CUST002995,2023-09-05,Desktop,Edge,SEO,15,1750,0,0
VIS00000215,CUST007714,2025-11-19,Tablet,Safari,Google Ads,1,1491,1,1
VIS00000216,CUST001767,2025-06-17,Tablet,Chrome,Facebook,8,1293,0,0
VIS00000217,CUST009063,2025-09-05,Tablet,Chrome,Facebook,6,1164,0,1
VIS00000218,CUST004008,2022-09-14,Mobile,Chrome,SEO,12,49,5,0
VIS00000219,CUST000484,2024-02-29,Tablet,Firefox,YouTube,8,70,1,1
VIS00000220,CUST003147,2023-11-20,Desktop,Chrome,WhatsApp,3,924,4,0
VIS00000221,CUST006252,2025-06-15,Desktop,Chrome,SEO,11,911,2,1
VIS00000222,CUST010870,2025-01-29,Desktop,Safari,WhatsApp,16,1000,5,1
VIS00000223,CUST005098,2022-04-24,Tablet,Edge,YouTube,4,421,0,0
VIS00000224,CUST002876,2025-04-07,Desktop,Safari,WhatsApp,17,1490,2,1
VIS00000225,CUST007811,2024-04-13,Desktop,Chrome,YouTube,12,24,2,1
VIS00000226,CUST012393,2024-03-06,Mobile,Edge,Google Ads,15,990,3,1
VIS00000227,CUST009805,2024-09-05,Desktop,Edge,SEO,2,640,4,1
VIS00000228,CUST000865,2024-06-23,Mobile,Safari,SEO,14,1707,0,0
VIS00000229,CUST011133,2025-11-06,Mobile,Chrome,Google Ads,15,921,1,0
VIS00000230,CUST009105,2023-01-30,Desktop,Chrome,SEO,9,117,2,0
VIS00000231,CUST005725,2024-07-25,Desktop,Safari,Email,8,1317,3,0
VIS00000232,CUST006364,2024-09-17,Tablet,Firefox,Google Ads,16,221,3,0
VIS00000233,CUST000023,2022-11-15,Tablet,Firefox,SEO,18,1435,1,1
VIS00000234,CUST012274,2023-07-10,Desktop,Safari,Instagram,18,1064,3,1
VIS00000235,CUST008960,2022-08-30,Desktop,Chrome,Email,13,261,4,0
VIS00000236,CUST000641,2024-04-16,Tablet,Safari,Facebook,8,385,4,1
VIS00000237,CUST003174,2024-11-18,Tablet,Firefox,SEO,7,895,0,1
VIS00000238,CUST000960,2023-09-17,Mobile,Chrome,Google Ads,15,229,4,1
VIS00000239,CUST006506,2025-03-06,Tablet,Firefox,Facebook,17,456,2,0
VIS00000240,CUST004686,2024-11-27,Tablet,Firefox,Google Ads,14,816,3,0
VIS00000241,CUST006881,2025-06-28,Mobile,Edge,Facebook,3,665,2,1
VIS00000242,CUST010093,2023-09-27,Tablet,Edge,Affiliate,1,559,2,1
VIS00000243,CUST004057,2025-05-26,Desktop,Edge,Instagram,11,243,2,0
VIS00000244,CUST010952,2022-08-08,Mobile,Firefox,Instagram,14,391,1,0
VIS00000245,CUST013035,2024-10-14,Desktop,Firefox,Instagram,15,364,0,1
VIS00000246,CUST008836,2022-07-21,Desktop,Safari,Affiliate,2,1342,0,0
VIS00000247,CUST012427,2023-06-03,Desktop,Edge,Email,15,783,0,1
VIS00000248,CUST008024,2025-05-20,Tablet,Safari,Facebook,5,144,1,0
VIS00000249,CUST005787,2025-08-02,Tablet,Firefox,SEO,17,90,4,1
VIS00000250,CUST013884,2024-09-16,Desktop,Firefox,YouTube,7,756,0,0
VIS00000251,CUST000387,2024-04-06,Mobile,Firefox,Email,1,810,2,1
VIS00000252,CUST007080,2025-05-31,Tablet,Chrome,Direct,10,915,5,0
VIS00000253,CUST009838,2023-08-03,Desktop,Firefox,YouTube,17,723,5,1
VIS00000254,CUST001174,2024-08-25,Desktop,Firefox,Direct,14,1316,2,1
VIS00000255,CUST006730,2023-11-13,Mobile,Chrome,YouTube,16,1283,4,1
VIS00000256,CUST003190,2024-08-13,Tablet,Chrome,Direct,6,1585,0,1
VIS00000257,CUST006551,2022-09-08,Desktop,Safari,Email,2,873,5,0
VIS00000258,CUST003713,2022-12-31,Desktop,Safari,YouTube,10,94,1,0
VIS00000259,CUST010229,2025-12-01,Tablet,Chrome,SEO,17,483,1,1
VIS00000260,CUST006236,2023-11-20,Desktop,Chrome,WhatsApp,13,341,3,0
VIS00000261,CUST013212,2022-04-01,Tablet,Safari,YouTube,4,1440,4,1
VIS00000262,CUST000255,2024-01-28,Mobile,Chrome,Email,11,542,2,1
VIS00000263,CUST007935,2022-07-13,Mobile,Edge,Affiliate,9,1309,5,0
VIS00000264,CUST006854,2025-05-06,Mobile,Firefox,YouTube,15,1579,0,1
VIS00000265,CUST009379,2025-09-01,Mobile,Chrome,WhatsApp,9,1760,3,0
VIS00000266,CUST008134,2024-05-17,Mobile,Chrome,Facebook,16,332,0,1
VIS00000267,CUST014129,2023-09-06,Desktop,Firefox,Instagram,17,1204,4,1
VIS00000268,CUST014510,2025-08-03,Desktop,Chrome,SEO,12,813,0,1
VIS00000269,CUST013261,2022-12-19,Tablet,Firefox,Google Ads,1,181,1,0
VIS00000270,CUST008576,2022-07-03,Mobile,Chrome,YouTube,18,569,5,1
VIS00000271,CUST009578,2023-06-16,Desktop,Firefox,Facebook,10,107,0,1
VIS00000272,CUST009977,2024-05-16,Desktop,Firefox,YouTube,2,1443,1,1
VIS00000273,CUST003989,2024-10-08,Tablet,Firefox,Affiliate,15,1576,2,1
VIS00000274,CUST010366,2025-10-12,Mobile,Edge,Instagram,2,595,0,1
VIS00000275,CUST010072,2024-07-09,Mobile,Safari,Affiliate,12,53,4,1
VIS00000276,CUST010304,2024-05-28,Tablet,Chrome,Google Ads,11,1800,3,0
VIS00000277,CUST012819,2022-07-10,Tablet,Firefox,WhatsApp,11,1646,2,0
VIS00000278,CUST003450,2022-12-27,Tablet,Firefox,Direct,12,51,5,0
VIS00000279,CUST001225,2025-02-18,Desktop,Edge,Direct,10,1388,5,1
VIS00000280,CUST001582,2024-04-10,Tablet,Firefox,Email,12,722,5,1
VIS00000281,CUST007963,2023-07-03,Desktop,Firefox,Affiliate,7,430,5,1
VIS00000282,CUST005283,2023-01-07,Mobile,Chrome,Email,4,354,0,0
VIS00000283,CUST004982,2024-03-07,Mobile,Edge,SEO,12,605,3,1
VIS00000284,CUST002505,2023-12-01,Mobile,Chrome,SEO,12,907,4,0
VIS00000285,CUST006660,2023-06-29,Mobile,Firefox,Affiliate,2,1291,1,1
VIS00000286,CUST007600,2023-04-23,Tablet,Chrome,Affiliate,2,651,5,0
VIS00000287,CUST002797,2023-02-02,Mobile,Edge,Google Ads,9,454,2,1
VIS00000288,CUST012776,2024-08-22,Desktop,Safari,SEO,2,1487,4,1
VIS00000289,CUST007908,2025-05-07,Mobile,Edge,SEO,12,1390,2,1
VIS00000290,CUST006180,2025-10-16,Desktop,Edge,Instagram,6,698,2,0
VIS00000291,CUST013589,2023-04-28,Mobile,Edge,WhatsApp,7,837,2,1
VIS00000292,CUST012534,2025-07-02,Mobile,Edge,WhatsApp,1,1284,5,0
VIS00000293,CUST005460,2024-12-27,Tablet,Chrome,Google Ads,18,617,5,1
VIS00000294,CUST008376,2025-04-02,Desktop,Edge,YouTube,13,1326,0,1
VIS00000295,CUST004041,2024-10-14,Mobile,Firefox,Instagram,12,709,5,0
VIS00000296,CUST003120,2025-08-18,Mobile,Edge,Instagram,3,1522,4,0
VIS00000297,CUST000919,2023-10-20,Mobile,Safari,Affiliate,1,1794,0,1
VIS00000298,CUST009656,2024-11-19,Mobile,Safari,Email,15,1651,3,0
VIS00000299,CUST002288,2023-03-14,Mobile,Safari,SEO,9,1331,4,1
VIS00000300,CUST002572,2024-02-24,Tablet,Edge,Facebook,3,1577,4,1
VIS00000301,CUST009066,2024-12-18,Desktop,Edge,YouTube,1,1789,0,0
VIS00000302,CUST006647,2023-03-15,Desktop,Edge,Instagram,7,1113,3,0
VIS00000303,CUST013890,2023-09-19,Tablet,Edge,YouTube,2,1668,5,1
VIS00000304,CUST001007,2022-02-12,Desktop,Edge,Google Ads,17,1189,2,0
VIS00000305,CUST006519,2024-12-21,Tablet,Chrome,Direct,6,1436,5,1
VIS00000306,CUST002654,2025-02-20,Mobile,Edge,WhatsApp,12,1737,4,1
VIS00000307,CUST000002,2022-03-14,Desktop,Edge,Email,3,568,1,1
VIS00000308,CUST004170,2025-12-25,Mobile,Firefox,Facebook,6,906,5,1
VIS00000309,CUST010304,2024-04-18,Desktop,Safari,Email,13,667,2,1
VIS00000310,CUST012454,2022-11-15,Mobile,Chrome,Facebook,3,933,4,1
VIS00000311,CUST010530,2022-11-22,Mobile,Safari,Affiliate,8,1762,4,0
VIS00000312,CUST009728,2023-01-25,Tablet,Firefox,WhatsApp,17,525,5,1
VIS00000313,CUST011946,2023-08-03,Desktop,Safari,YouTube,17,836,1,1
VIS00000314,CUST008881,2025-08-01,Mobile,Edge,SEO,11,977,4,1
VIS00000315,CUST002271,2025-09-24,Mobile,Safari,SEO,6,1742,2,0
VIS00000316,CUST004588,2022-06-08,Mobile,Firefox,Google Ads,4,1681,1,1
VIS00000317,CUST007800,2023-10-29,Mobile,Chrome,Email,16,490,0,1
VIS00000318,CUST004421,2025-01-14,Tablet,Safari,YouTube,13,49,1,0
VIS00000319,CUST013287,2025-03-31,Tablet,Safari,SEO,18,1250,2,1
VIS00000320,CUST014565,2024-04-07,Tablet,Firefox,YouTube,2,524,5,0
VIS00000321,CUST014612,2023-01-09,Mobile,Safari,WhatsApp,13,1018,2,0
VIS00000322,CUST000988,2024-05-01,Mobile,Firefox,Facebook,10,1264,4,1
